UID,NOTES,Latitude,Longitude,ACRES,PROJECT_TYPE_2,POPUP NAME,POLYGON_LAYER_ID,TYPE,ORIGIN,ORIGIN_2,ORIGIN_3,Project_Status,STAT_NUM,STAT_DESCRP,DESCRIPTION,IMPACT,DISCUSSION,WATER_DELIVERY,STUDIES_PROJECTS,ESTB_PTOTO,ADDL_RESOURCES,ADDL_PHOTOS
1,,37.16062583,-118.3196035,364,Habitat,"Yellow Billed Cuckoo Habitat, Baker Creek",Yellow Billed Cuckoo Habitat Baker Creek,MOU,"<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.1</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/ybcu/YBC_MND_12Nov2009.pdf"">Mitigated Negative Declaration</a>",Implemented and ongoing,50,"The project area has burned multiple times, which had limited the effectiveness of habitat enhancement efforts. ","This habitat project is designed to enhance vegetation, including tree planting, to enlarge and augment existing YBC habitat.",Enlarges and enhances YBC habitat at Baker Creek.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/43d57c17cbd34436a8a50b84b7adc54c/data,"<a href=""https://www.dropbox.com/sh/n0s2svmu1zxkmch/AADwbyZkzNMF4dy6MpSKI-xQa?dl=0"">Additional Resources</a>",
2,,36.65577981,-118.1473609,256,Habitat,"Yellow Billed Cuckoo Habitat, Hogback Creek",Yellow Billed Cuckoo Habitat Hogback Creek,MOU,"<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.1</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/ybcu/YBC_MND_12Nov2009.pdf"">Mitigated Negative Declaration</a>",Implemented and ongoing,50,The project area has maintained a good cover of mature tree canopy. Avian surveys have not been conducted. The presence or absence of the Yellow Billed Cuckoo in this area has not been assessed.,"This habitat project, guided by a land management plan, includes tree planting to enlarge and enhance existing YBC habitat.",Enlarges and enhances YBC habitat at Hogback Creek.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/43d57c17cbd34436a8a50b84b7adc54c/data,"<a href=""https://www.dropbox.com/sh/n0s2svmu1zxkmch/AADwbyZkzNMF4dy6MpSKI-xQa?dl=0"">Additional Resources</a>",
3,,36.77049494,-118.1239974,3,Habitat,Well 368,Well 368 - 1600 AF,"MOU, 1600 AF","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>",,Implemented and ongoing,50,"The aquatic habitat sustained by this flow has diminished in recent years, likely due to changes in the watercourse caused by the growth of emergent vegetation. Despite this, the population of the Threatened and Endangered Pupfish appears stable. Ongoing studies by the California Department of Fish and Wildlife will assess the species' continued success and identify any necessary management actions.","This Additional Mitigation habitat project will create and maintain riparian, aquatic and spring habitats. It also provides augmentation and redundancy in the water source at well F368 that supports the Owens Valley pupfish.","Provides riparian, aquatic, and spring habitat.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/7fe98a5b4bd04a818e3102de231a9f84/data,,
4,,36.78786555,-118.1331927,87,Habitat,Homestead,Homestead - 1600 AF,"MOU, 1600 AF","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>",,"Fully implemented, but not meeting goals",50,"Beneficial riparian habitat has developed; however, a key component of the project is the establishment of a one-acre pond. While open water initially formed early in the project, it has since been filled in with emergent vegetation.  The area has an infestation of Tamarisk that is actively being treated.  This project is under discussion with LADWP.","This Additional Mitigation habitat project will create riparian, wetland, spring, and pond habitats and improve the existing alkali meadow.","Provides riparian, wetland, and spring habitats.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/6ea6d36ef8e54a5bae0da58510e548a7/data,"<a href=""https://www.dropbox.com/sh/r9tz240hizb0r7v/AADzeSzDKwZybyBIYllMEImVa?dl=0https://www.dropbox.com/sh/r9tz240hizb0r7v/AADzeSzDKwZybyBIYllMEImVa?dl=0"">Additional Resources</a>",
5,,37.26149196,-118.3708476,27,Habitat,Freeman Creek,Freeman Creek - 1600 AF,"MOU, 1600 AF","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>",,"Fully implemented, but not meeting goals",50,"Freeman Creek has proven to be an unreliable water source. Although the project is credited with 215 acre-feet (AF) of water annually based on a long-term average, the creek has produced little to no water between 2014 and 2023. Consequently, much of the riparian habitat, including cottonwood groves and willows that had begun to establish themselves after the project's initiation, has died off. Pastureland expansion has been minimal, and a shallow marsh that was expected to form has not materialized. However, in the wet year of 2024, flow returned, resulting in the regreening of some of the bank vegetation.  LADWP cleared debris from a channel to encourage water to flow to its intended end point.","This Additional Mitigation habitat project will encompass diverting the creek flow back into ancestral washes to redevelop diverse riparian habitat and provide irrigation to trees, pasture, and a shallow marsh.",Re-introduces riparian habitat and provides irrigation.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/83f40c4148a84ca682cd0d653a318515/data,"<a href=""https://www.dropbox.com/sh/adxrolcqznvyngp/AABD5gkQfQ0UAUqZhHd2jQA9a?dl=0"">Additional Resources</a>",
6,,36.97919874,-118.2275988,3,Habitat,"Hines Springs, Well 355",Hines Springs Well 355 - 1600 AF,"MOU, 1600 AF","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>",,Implemented and ongoing,50,"The original concept of providing water at the Hines Spring vent proved impractical. As a result, the MOU parties entered into an ad hoc process and agreed to build two alternative projects at the spring site: 1) water from Well 355 now supplies a small pond used by livestock, and 2) water from the Aberdeen Ditch is conveyed through a 2,700-foot pipeline to a ditch just southeast of the former spring site. The area's highly permeable ground has made it challenging to convey water along natural contours. However, rising groundwater levels from high-water years in 2017 and 2023 have encouraged the growth of riparian vegetation.","This Additional Mitigation habitat project will create and enhance aquatic, riparian, and spring habitat. One to two acres of ponded water or riparian vegetation is to be established, supplemented by the planting of riparian trees and riparian herbaceous vegetation along the banks.","Provides aquatic, riparian, and spring habitat.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/3c933913410b42fca0d4faf86adf3bd9/data,"<a href=""https://www.dropbox.com/sh/tjiepd8j9r9xdav/AABVG9X2a_tHFaW4xQchflGEa?dl=0"">Additional Resources</a>",
7,,36.97669917,-118.2277998,6,Habitat,"Hines Springs, Aberdeen Ditch",Hines Springs Aberdeen Ditch - 1600 AF,"MOU, 1600 AF","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>",,Implemented and ongoing,50,"The original concept of providing water at the Hines Spring vent proved impractical. As a result, the MOU parties entered into an ad hoc process and agreed to build two alternative projects at the spring site: 1) water from Well 355 now supplies a small pond used by livestock, and 2) water from the Aberdeen Ditch is conveyed through a 2,700-foot pipeline to a ditch just southeast of the former spring site. The area's highly permeable ground has made it challenging to convey water along natural contours. However, rising groundwater levels from high-water years in 2017 and 2023 have encouraged the growth of riparian vegetation.","This Additional Mitigation habitat project will create and enhance aquatic, riparian, and spring habitat. One to two acres of ponded water or riparian vegetation was to be established, supplemented by the planting of riparian trees and riparian herbaceous vegetation along the banks.","Provides aquatic, riparian, and spring habitat.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/556de03103e04bbf84a6aea53e312b34/data,"<a href=""https://www.dropbox.com/sh/3tfny21pmzsgror/AAD5-2DGdLeGO8eofgwdnADka?dl=0"">Additional Resources</a>",
8,,37.19517903,-118.3307884,80,Habitat,Warren Lake,Warren Lake - 1600 AF,"MOU, 1600 AF","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>",,Implemented and ongoing,50,"Warren Lake water deliveries vary from year-to-year and are tied to the amount of water supplied to the other Additional Mitigation projects. 1,600 acre-feet of water is to be applied to all of the other Addition Mitigation projects. If 1,600 acre-feet cannot be supplied, the balance is spilled into Warren Lake. ",This Additional Mitigation habitat project will create readily utilized shallow-water habitat for shorebirds and waterfowl.,Provides waterfowl habitat.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/368795d927d7414da574ff44bf27f725/data,"<a href="""">Additional Resources</a>",
9,,36.80113403,-118.1504851,5,Habitat,North of Mazourka Canyon Rd,North of Mazourka Canyon Road - 1600 AF,"MOU, 1600 AF","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>",,Implemented and ongoing,50,The project is largely meeting goals. The riparian habitat is subject to grazing.,This Additional Mitigation habitat project will develop artesian well site V008 and another nearby new artesian well to create physical conditions and habitat types consistent with Owens Valley springs.,Provides spring-type habitat.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/3eb80f9b7ad0408f8948141f26a60a7c/data,"<a href=""https://www.dropbox.com/sh/uf39sz9crri6jnf/AABTfg6L113GW_uCuAa7M_83a?dl=0"">Additional Resources</a>",
10,,36.56207621,-118.0549495,79,Recreation,Diaz Lake,Diaz Lake - 1600 AF,"Environmental, MOU, 1600 AF, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf"">EIR Table 5-2</a>","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/legacy/Mitigation/additional_mitigation_sites/AD%20HOC%20PROJECTS%20Hines%20Spr%20Stip%20Exhibit%20A.pdf"">Ad Hoc Exhibit A</a>",Implemented and ongoing,50,"Under the Additional Mitigation project description, Diaz Lake is supplied a secure source of water. This reduces Inyo County's dependence on pumped water. LADWP’s lease with Inyo County was updated to reflect the new water supply commitments.","This recreation project, implemented under Additional Mitigation, provides a guaranteed water supply to Diaz Lake recreational area to assure a constant lake level and reduce pumping required by Inyo County.",Provides lake for recreation and habitat for waterbird,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/97de98a4963d48fdbd2a0483cdaf10f8/data,"<a href=""https://www.dropbox.com/sh/fgx15zizykpw21s/AAAu30xdJzvJUE7E4wE-joLia?dl=0"">Additional Resources</a>",
